text,emotion
Me siento muy triste y no tengo ganas de hacer nada,tristeza
No puedo dejar de llorar,tristeza
Estoy desanimado todo el tiempo,tristeza
Nada me hace feliz últimamente,tristeza
Siento que todo está perdido,tristeza
No encuentro sentido a nada,tristeza
Cada día me cuesta más levantarme,tristeza
Me siento solo y abandonado,tristeza
No tengo energía para nada,tristeza
Todo me hace sentir mal,tristeza
Siento que no valgo nada,tristeza
Me duele el alma,tristeza
Me siento vacío por dentro,tristeza
Estoy atrapado en un ciclo de tristeza,tristeza
Siento un peso enorme en mi pecho,tristeza
No tengo motivación para nada,tristeza
Siento que la vida no tiene sentido,tristeza
No encuentro alegría en nada,tristeza
Me siento inútil y sin propósito,tristeza
Estoy cansado de estar triste,tristeza
No puedo superar este sentimiento de tristeza,tristeza
Todo me recuerda lo mal que estoy,tristeza
Me siento desconectado de todo,tristeza
Estoy perdiendo la esperanza,tristeza
Siento que no hay salida,tristeza
Estoy atrapado en una espiral de tristeza,tristeza
No puedo encontrar paz,tristeza
Me siento completamente solo,tristeza
Estoy hundido en la tristeza,tristeza
No tengo fuerzas para seguir adelante,tristeza
Me siento derrotado,tristeza
Siento que todo está en mi contra,tristeza
No tengo ganas de hacer nada,tristeza
Estoy cansado de luchar,tristeza
Me siento perdido,tristeza
No tengo a nadie a quien acudir,tristeza
Siento que mi vida no tiene sentido,tristeza
Estoy atrapado en la tristeza,tristeza
No puedo dejar de pensar en lo mal que estoy,tristeza
Siento que no puedo seguir adelante,tristeza
Estoy agotado emocionalmente,tristeza
Me siento vacío,tristeza
No tengo ganas de vivir,tristeza
Siento que no soy suficiente,tristeza
Estoy atrapado en mis propios pensamientos,tristeza
No puedo encontrar la felicidad,tristeza
Siento que estoy fallando en todo,tristeza
Estoy perdiendo el interés en todo,tristeza
Siento que no tengo futuro,tristeza
Me siento derrotado y sin esperanza,tristeza
Estoy atrapado en mi propia tristeza,tristeza
No tengo fuerzas para seguir,tristeza
Siento que todo está perdido,tristeza
Me siento roto por dentro,tristeza
Estoy cansado de sentirme así,tristeza
Siento que no puedo escapar de esta tristeza,tristeza
Estoy ahogado en la tristeza,tristeza
No tengo ganas de nada,tristeza
Siento que no puedo avanzar,tristeza
Estoy atrapado en mi propia mente,tristeza
No puedo dejar de sentirme mal,tristeza
Siento que no hay esperanza,tristeza
Estoy perdido y sin rumbo,tristeza
Me siento solo y aislado,tristeza
No tengo fuerzas para seguir luchando,tristeza
Siento que mi vida está estancada,tristeza
Estoy atrapado en un ciclo de tristeza,tristeza
No puedo encontrar la paz,tristeza
Siento que no tengo propósito,tristeza
Estoy abrumado por la tristeza,tristeza
No tengo ganas de hacer nada,tristeza
Siento que estoy fallando,tristeza
Estoy agotado y sin esperanza,tristeza
Siento que no puedo seguir adelante,tristeza
Estoy atrapado en un mar de tristeza,tristeza
No puedo encontrar la alegría,tristeza
Siento que estoy solo en esto,tristeza
Estoy perdiendo la fe,tristeza
Siento que todo está en mi contra,tristeza
Estoy atrapado en mis pensamientos,tristeza
No puedo dejar de sentirme triste,tristeza
Siento que no hay salida,tristeza
Estoy abrumado por la tristeza,tristeza
Siento que no tengo fuerzas,tristeza
Estoy atrapado en un ciclo de tristeza,tristeza
No puedo encontrar la felicidad,tristeza
Siento que estoy fallando en todo,tristeza
Estoy agotado emocionalmente,tristeza
Siento que no tengo futuro,tristeza
Estoy atrapado en mi propia tristeza,tristeza
No tengo ganas de seguir,tristeza
Siento que todo está perdido,tristeza
Estoy roto por dentro,tristeza
Me siento muy triste,tristeza
No encuentro motivos para sonreír,tristeza
Todo parece gris y sin sentido,tristeza
Siento una profunda tristeza,tristeza
Me invade una sensación de vacío,tristeza
No puedo dejar de sentirme triste,tristeza
Estoy envuelto en una nube de tristeza,tristeza
Estoy estresado por el trabajo,estrés
No puedo dormir por el estrés,estrés
Siento que tengo demasiadas cosas que hacer,estrés
Estoy abrumado por las responsabilidades,estrés
No puedo relajarme ni un momento,estrés
Me siento al borde del colapso,estrés
No sé cómo manejar todo esto,estrés
Estoy constantemente preocupado,estrés
Siento que no tengo tiempo para nada,estrés
Estoy agotado mentalmente,estrés
Me duele la cabeza de tanto estrés,estrés
Siento que no puedo manejar la presión,estrés
Estoy siempre corriendo de un lado a otro,estrés
No tengo tiempo para mí mismo,estrés
Estoy preocupado por el futuro,estrés
Siento que todo es demasiado,estrés
No puedo encontrar un momento de paz,estrés
Estoy al límite de mis fuerzas,estrés
Siento que no puedo respirar,estrés
Estoy atrapado en un ciclo de estrés,estrés
No tengo tiempo para descansar,estrés
Siento que todo se me escapa de las manos,estrés
Estoy constantemente en alerta,estrés
No puedo desconectar del trabajo,estrés
Siento que siempre estoy bajo presión,estrés
Estoy preocupado por todo,estrés
No puedo relajarme ni un segundo,estrés
Siento que no puedo escapar del estrés,estrés
Estoy agotado física y mentalmente,estrés
No tengo tiempo para disfrutar de la vida,estrés
Siento que todo es una urgencia,estrés
Estoy siempre estresado,estrés
No puedo encontrar un momento de tranquilidad,estrés
Siento que estoy al borde del abismo,estrés
Estoy preocupado por mis responsabilidades,estrés
No tengo tiempo para mí,estrés
Siento que no puedo manejar tanto estrés,estrés
Estoy al límite de mi capacidad,estrés
No puedo encontrar paz en ningún lado,estrés
Siento que todo es demasiado abrumador,estrés
Estoy preocupado por el futuro,estrés
No tengo tiempo para nada,estrés
Siento que no puedo manejar todo esto,estrés
Estoy siempre bajo presión,estrés
No puedo desconectar de mis problemas,estrés
Siento que todo es una carga,estrés
Estoy agotado y estresado,estrés
No tengo tiempo para descansar,estrés
Siento que no puedo escapar del estrés,estrés
Estoy preocupado por todo,estrés
No puedo encontrar un momento de paz,estrés
Siento que todo se me escapa de las manos,estrés
Estoy al límite de mis fuerzas,estrés
No puedo relajarme ni un momento,estrés
Siento que no puedo respirar,estrés
Estoy atrapado en un ciclo de estrés,estrés
No tengo tiempo para disfrutar de la vida,estrés
Siento que siempre estoy bajo presión,estrés
Estoy preocupado por mis responsabilidades,estrés
No puedo desconectar del trabajo,estrés
Siento que no puedo manejar tanto estrés,estrés
Estoy agotado física y mentalmente,estrés
No tengo tiempo para mí,estrés
Siento que todo es una urgencia,estrés
Estoy preocupado por el futuro,estrés
No puedo encontrar un momento de tranquilidad,estrés
Siento que estoy al borde del abismo,estrés
Estoy siempre estresado,estrés
No puedo relajarme ni un segundo,estrés
Siento que todo es demasiado abrumador,estrés
Estoy preocupado por todo,estrés
No tengo tiempo para descansar,estrés
Siento que no puedo manejar la presión,estrés
Estoy al límite de mi capacidad,estrés
No puedo encontrar paz en ningún lado,estrés
Siento que todo es una carga,estrés
Estoy agotado y estresado,estrés
No tengo tiempo para mí mismo,estrés
Siento que siempre estoy bajo presión,estrés
Estoy al límite de mis fuerzas,estrés
No puedo encontrar un momento de paz,estrés
Siento que todo se me escapa de las manos,estrés
Estoy preocupado por mis responsabilidades,estrés
